Service name,City,Unnamed: 2,Counselling,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Clean_Service_Name,Core_Name
A & B Clinics,Barrie,1.0,,,,,,,a b clinics,a b clinics
Aamjiwnaang First Nation,Sarnia,1.0,,,,,,,aamjiwnaang first nation,aamjiwnaang first nation
Above and Beyond,"Peterborough, Ontario",1.0,,,,,,,above and beyond,above and beyond
ADAPT Halton,"Burlington, Ontario",1.0,,,,,,,adapt halton,adapt halton
Addiction Centre Toronto,Brantford,1.0,,,,,,,addiction centre toronto,toronto
Addiction Centre Toronto,"Hamilton, Ontario",1.0,,,,,,,addiction centre toronto,toronto
Addiction Centre Toronto,"Hamilton, Ontario",1.0,,,,,,,addiction centre toronto,toronto
Addiction Centre Toronto,"Kingston, Ontario",1.0,,,,,,,addiction centre toronto,toronto
Addiction Centre Toronto,"Peterborough, Ontario",1.0,,,,,,,addiction centre toronto,toronto
Addiction Services Central Ontario,"Markham, Ontario",1.0,,,,,,,addiction services central ontario,central
Addiction Services Central Ontario,,1.0,,,,,,,addiction services central ontario,central
Addictions Treatment Service,"Pembroke, Ontario",1.0,,,,,,,addictions treatment service,addictions
Al-Anon / Alateen Family Groups,"Pembroke, Ontario",1.0,,,,,,,al,al
Al-Anon Family Groups - Waterloo/Wellington,"Cambridge, Ontario",1.0,,,,,,,al,al
Al-Anon Family Groups - Waterloo/Wellington,Guelph,1.0,,,,,,,al,al
Algoma Substance Abuse Rehabilitation Centre,"Sault Ste. Marie, Ontario",1.0,,,,,,,algoma substance abuse rehabilitation centre,algoma substance abuse rehabilitation
Alternatives for Youth,"Hamilton, Ontario",1.0,,,,,,,alternatives for youth,alternatives for youth
Amethyst Women's Addiction Centre,Ottawa,1.0,,,,,,,amethyst women s addiction centre,amethyst women s
Arrow Medical,Barrie,1.0,,,,,,,arrow medical,arrow medical
Arrow Medical,Barrie,1.0,,,,,,,arrow medical,arrow medical
Back Door Mission for the Relief of Poverty,Oshawa,1.0,,,,,,,back door mission for the relief of poverty,back door mission for relief of poverty
Barrie Area Native Advisory Circle,Barrie,1.0,,,,,,,barrie area native advisory circle,barrie area native advisory circle
Barrie Area Native Advisory Circle,Orillia,1.0,,,,,,,barrie area native advisory circle,barrie area native advisory circle
Barrie Native Friendship Centre,Barrie,1.0,,,,,,,barrie native friendship centre,barrie native friendship
Barrie Peoples Clinic & Pharmacy,Barrie,1.0,,,,,,,barrie peoples clinic pharmacy,barrie peoples pharmacy
Beendigen,Thunder Bay,1.0,,,,,,,beendigen,beendigen
Belong Ottawa,Ottawa,1.0,,,,,,,belong ottawa,belong ottawa
Bluewater Health,Sarnia,1.0,,,,,,,bluewater health,bluewater
Bluewater Health,Sarnia,1.0,,,,,,,bluewater health,bluewater
Bluewater Methadone Clinic,Chatham-Kent,1.0,,,,,,,bluewater methadone clinic,bluewater methadone
Bluewater Methadone Clinic,Sarnia,1.0,,,,,,,bluewater methadone clinic,bluewater methadone
Bluewater Methadone Clinic,Sarnia,1.0,,,,,,,bluewater methadone clinic,bluewater methadone
Body Brave,"Hamilton, Ontario",1.0,,,,,,,body brave,body brave
Brant Haldimand Norfolk RAAM,Brantford,1.0,,,,,,,brant haldimand norfolk raam,brant haldimand norfolk raam
"Brantford Clinic, A Fresh New Start",Brantford,1.0,,,,,,,brantford clinic a fresh new start,brantford a fresh new start
Brentwood Recovery Home,"Windsor, Ontario",1.0,,,,,,,brentwood recovery home,brentwood recovery home
Bruyere Health,Ottawa,1.0,,,,,,,bruyere health,bruyere
Bulimia Anorexia Nervosa Association,"Windsor, Ontario",,Eating disorder,,,,,,bulimia anorexia nervosa association,bulimia anorexia nervosa
