Service name,City,Extra,Clean_Service_Name,Core_Name
Access Point Northwest (The),Thunder Bay,,access point northwest,access point northwest
ADAPT Halton,"Burlington, Ontario",1.0,adapt halton,adapt halton
Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington,"Kingston, Ontario",1.0,addiction mental health services,
ADHD Parent Support Group,"Kingston, Ontario",,adhd parent support group,adhd parent support group
Algoma Public Health,Elliot Lake,1.0,algoma public health,algoma public
Algoma Public Health,"Sault Ste. Marie, Ontario",1.0,algoma public health,algoma public
Alpha Court Community Mental Health and Addiction Services,Thunder Bay,1.0,alpha court community mental health and addiction services,alpha court and
Amethyst Women's Addiction Centre,Ottawa,,amethyst women s addiction centre,amethyst women s
Art Therapy,Ottawa,1.0,art therapy,art therapy
Associated Youth Services of Peel,Mississauga,1.0,associated youth services of peel,associated youth of peel
Belleville & Quinte West Community Health Centre,"Belleville, Ontario",1.0,belleville quinte west community health centre,belleville quinte west
Belleville & Quinte West Community Health Centre,Quinte West,1.0,belleville quinte west community health centre,belleville quinte west
Bethesda,Thorold,1.0,bethesda,bethesda
Bien Ici: Centre de Sante Mentale et Services Communautaires,"Cornwall, Ontario",1.0,bien ici centre de sante mentale et services communautaires,bien ici de sante mentale et communautaires
Bluewater Health,Sarnia,1.0,bluewater health,bluewater
Body Brave,"Hamilton, Ontario",1.0,body brave,body brave
Brightshores Health System,Owen Sound,1.0,brightshores health system,brightshores system
Bruyère Health,Ottawa,1.0,bruyère health,bruyère
Cambridge Memorial Hospital,"Cambridge, Ontario",1.0,cambridge memorial hospital,cambridge memorial hospital
Camino Wellbeing and Mental Health,"Kitchener, Ontario",1.0,camino wellbeing and mental health,camino wellbeing and
Canadian Institute for Advancements in Mental Health,Toronto,1.0,canadian institute for advancements in mental health,institute for advancements in
Canadian Mental Health Association,"Hamilton, Ontario",1.0,canadian mental health association,
Canadian Mental Health Association - Algoma,Elliot Lake,1.0,canadian mental health association,
Canadian Mental Health Association - Algoma,"Sault Ste. Marie, Ontario",1.0,canadian mental health association,
Canadian Mental Health Association - Brant-Haldimand-Norfolk,Brantford,1.0,canadian mental health association,
Canadian Mental Health Association - Cochrane Timiskaming,Temiskaming Shores,1.0,canadian mental health association,
Canadian Mental Health Association - Cochrane Timiskaming,Timmins,1.0,canadian mental health association,
Canadian Mental Health Association - Kenora,Kenora,1.0,canadian mental health association,
Canadian Mental Health Association - Lambton Kent,Chatham-Kent,1.0,canadian mental health association,
Canadian Mental Health Association - Lambton Kent,Sarnia,1.0,canadian mental health association,
Canadian Mental Health Association - Niagara Region,St. Catharines,1.0,canadian mental health association,
Canadian Mental Health Association - North Bay and District,"North Bay, Ontario",1.0,canadian mental health association,
Canadian Mental Health Association - Sudbury / Manitoulin,Greater Sudbury,1.0,canadian mental health association,
Canadian Mental Health Association - Thunder Bay,Thunder Bay,1.0,canadian mental health association,
Canadian Mental Health Association - Waterloo Wellington,"Cambridge, Ontario",1.0,canadian mental health association,
Canadian Mental Health Association - Waterloo Wellington,Guelph,1.0,canadian mental health association,
Canadian Mental Health Association - Waterloo Wellington,"Kitchener, Ontario",1.0,canadian mental health association,
Canadian Mental Health Association Champlain East,"Cornwall, Ontario",1.0,canadian mental health association champlain east,champlain east
"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",Owen Sound,1.0,canadian mental health association grey bruce mental health and addiction services,grey bruce and
"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",Kawartha Lakes,1.0,canadian mental health association haliburton kawartha pine ridge,haliburton kawartha pine ridge
"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge","Peterborough, Ontario",1.0,canadian mental health association haliburton kawartha pine ridge,haliburton kawartha pine ridge
Canadian Mental Health Association Hastings Prince Edward,"Belleville, Ontario",1.0,canadian mental health association hastings prince edward,hastings prince edward
Canadian Mental Health Association Hastings Prince Edward,Quinte West,1.0,canadian mental health association hastings prince edward,hastings prince edward
"Canadian Mental Health Association, Durham Branch",Oshawa,1.0,canadian mental health association durham branch,durham branch
"Canadian Mental Health Association, National",Toronto,1.0,canadian mental health association national,national
