id,Service name,address,Postal code,Phone number,Service description,keywords,source,postal code filtering,community mental health in Ontario,community mental health in Ontario.1,Clean_Service_Name,City,City_Extraction_Status
2,Hamilton Urban Core Community Health Centre,"430 Cannon Street East, Hamilton",,,Connects people with mental health and addiction care and support.,"community health, mental health, addiction care",https://www.ontario.ca/page/mental-health-services,-1,1,1,hamilton urban core community health centre,Hamilton,Good
3,Kitchener-Waterloo Community Healthcaring,"44 Francis Street South, Kitchener-Waterloo",,,Offers various health and support services including mental health and addiction care.,"health services, mental health, addiction support",https://www.ontario.ca/page/mental-health-services,-1,1,1,kitchener waterloo community healthcaring,Kitchener,Good
4,Somerset West Community Health Centre,"55 Eccles Street, Ottawa",,,Facilitates access to a range of health services including mental health and addiction support.,"health services, mental health, addiction support",https://www.ontario.ca/page/mental-health-services,-1,1,1,somerset west community health centre,Ottawa,Good
6,Parkdale Queen West Community Health Centre,"168 Bathurst Street, Toronto",,,Offers comprehensive health services including mental health and addiction support.,"health services, mental health, addiction support",https://www.ontario.ca/page/mental-health-services,-1,1,1,parkdale queen west community health centre,Toronto,Good
7,Regent Park Community Health Centre,"465 Dundas Street East, Toronto",,,Provides mental health and addiction support as part of community health services.,"mental health, addiction support, community health",https://www.ontario.ca/page/mental-health-services,-1,1,1,regent park community health centre,Toronto,Good
8,South Riverdale Community Health Centre,"1156 Danforth Ave, 2nd floor, Toronto",,,Connects individuals to various health and social services including mental health and addiction care.,"health services, mental health, addiction care",https://www.ontario.ca/page/mental-health-services,-1,1,1,south riverdale community health centre,Toronto,Good
9,"Canadian Mental Health Association, Ontario","180 Dundas Street West, Suite 2301, Toronto, ON",M5G 1Z8,1-800-875-6213,"A non-profit organization committed to making mental health possible for all, providing mental health and addictions services across Ontario through its branches.","mental health, addictions, community services, non-profit, support",https://ontario.cmha.ca/,1,1,1,canadian mental health association ontario,Toronto,Good
10,Centre for Addiction and Mental Health,250 College St,M6J 1Z8,416-535-8501,"CAMH provides a wide range of clinical care services for patients of all ages and families, including mental health and addictions services.","mental health, addictions, clinical care services",https://www.camh.ca/,1,1,1,centre for addiction and mental health,College St,Good
11,Homewood Health Centre,"Guelph, Ontario, Canada",,,"Uses 140 years of expertise in mental health and addiction to offer advanced care and hope for depression, especially when deemed treatment-resistant.","Mental Health, Co-Occurring Substance Use, Depression, Suicidality, Trauma",https://recovery.com/ontario/depression/,-1,1,1,homewood health centre,Guelph,Good
13,Centres for Health and Healing,"Vaughan, Ontario, Canada",,,"With their Mindful Mental Health Approach, they use 1-on-1 therapy, group therapy, and physical and nutritional activities to treat depression in a large estate on 110 acres of farmland.","Substance Use, Co-Occurring Mental Health, Depression, Detox, Personalized Treatment",https://recovery.com/ontario/depression/,-1,1,1,centres for health and healing,Vaughan,Good
16,EHN Bellwood Toronto,"Toronto, Ontario, Canada",,,"Treating depression with evidence-based programs and a variety of therapies, including CBT, DBT, peer groups, and holistic activities.","Substance Use, Mental Health, Co-Occurring Disorders, Addiction Recovery, Holistic Approach",https://recovery.com/ontario/depression/,-1,1,1,ehn bellwood toronto,Toronto,Good
17,Waypoint Centre for Mental Health Care,500 Church Street,L9M 1G3,,"Waypoint provides a range of mental health services, including inpatient and outpatient care tailored to individual needs, support for families, and specialized programs for various mental health concerns.","mental health services, inpatient, outpatient, support, specialized programs",https://www.waypointcentre.ca/,1,1,1,waypoint centre for mental health care,Church Street,Good
18,Acton - North Halton Mental Health Clinic,"19 Willow St N Acton, ON",L7J 1Z6,519-853-9741,"Provides comprehensive assessment, rehabilitation/treatment and supportive counselling to clients with complex and/or serious and persistent mental health disorders, living in North Halton. Services include community-based psychiatric assessment, treatment, counselling and case management, medication clinic, psychotherapy services, and linkages to other health services and community supports.","mental health services, assessment, rehabilitation, supportive counselling, psychiatric assessment, treatment, counselling, case management, medication management, psychotherapy, Cognitive-Behavioural Therapy, Dialectal Behavioural Therapy, community supports.",https://mississaugahalton.rehabcareontario.ca/Services/Display/183798/North_Halton_Mental_Health_Clinic,1,1,1,acton north halton mental health clinic,Willow St N Acton,Good
19,Halton Healthcare - Acton - North Halton Mental Health Clinic,"19 Willow St N Acton, ON",L7J 1Z6,519-853-9741,"Provides comprehensive assessment, rehabilitation/treatment and supportive counselling to clients with complex and/or serious and persistent mental health disorders, living in North Halton. Services include community-based psychiatric assessment, treatment, counselling, case management, medication management, psychotherapy, and support for early signs of psychosis.","mental health, assessment, counselling, treatment, psychiatric services, support, therapy, rehabilitation, community services",https://www.mississaugahaltonhealthline.ca/displayService.aspx?id=183798,1,1,1,halton healthcare acton north halton mental health clinic,Willow St N Acton,Good
20,North Halton Mental Health Clinic,19 Willow St N,L7J 1Z6,"519-853-9741 (Office), 1-833-256-7812 (Toll Free)","Provides comprehensive assessment, rehabilitation/treatment, and supportive counselling to clients with complex and/or serious and persistent mental health disorders, living in North Halton.","mental health services, supportive counselling, psychiatric assessment, rehabilitation, treatment, psychotherapy, cognitive-behavioral therapy, anxiety treatment, group therapy",https://halton.cioc.ca/record/MHH0579,1,1,1,north halton mental health clinic,Willow St N,Good
21,North Halton Mental Health Clinic,217 Main Street East,L9T 1N9,905-693-4240,"The North Halton Mental Health Clinic provides community-based psychiatric assessment, treatment, counselling, and case management for clients and their family members. Services include support for medication management, concurrent disorder treatment, linkages to other health services, and psychiatric consultation services for children and youth.","psychiatric assessment, treatment, counselling, case management, medication management, concurrent disorder treatment, community supports, first episode psychosis, psychiatric consultation.",https://www.ementalhealth.ca/index.php?m=record&ID=11322,1,1,1,north halton mental health clinic,Main Street East,Good
22,Halton Healthcare - Acton - North Halton Mental Health Clinic,"19 Willow St N Acton, ON",L7J 1Z6,519-853-9741,"Provides comprehensive assessment, rehabilitation/treatment and supportive counselling to clients with complex and/or serious and persistent mental health disorders, living in North Halton. Services include community-based psychiatric assessment, treatment, counselling and case management, medication management, psychotherapy services, and various programs for different age groups and needs.","comprehensive assessment, rehabilitation, treatment, supportive counselling, mental health disorders, psychiatric assessment, medication management, psychotherapy, community support, children and youth mental health services, concurrent disorders program.",https://www.lignesantemississaugahalton.ca/displayService.aspx?id=183798,1,1,1,halton healthcare acton north halton mental health clinic,Willow St N Acton,Good
31,ConnexOntario,,,1-866-531-2600,"A free, confidential service that helps people in Ontario find support and information about mental health services available in their community, providing assistance 24/7.","mental health services, addictions, problem gambling, support, information, 24/7 service",https://connexontario.ca/our-services/mental-health-treatment/,-1,1,1,connexontario,,Empty City
32,Addiction & Mental Health Services – Lennox & Addington,70 Dundas Street East,K7R 1H9,613-354-7521,"Provides crisis services, addiction services, counselling, youth team support, and community mental health support.","crisis services, addiction services, counselling, youth team, community mental health",https://amhs-kfla.ca/,1,1,1,addiction & mental health services lennox & addington,Dundas Street East,Good
33,AMHS Kingston & Frontenac,552 Princess St.,,613-544-4229 or 1-866-616-6005,Provides urgent and immediate response for individuals experiencing emotional or mental distress through crisis support services.,"crisis support, mental health, emotional distress",https://kingstonhsc.ca/MentalHealthAddictionResources,-1,1,1,amhs kingston & frontenac,Princess St.,Good
34,AMHS Lennox & Addington,70 Dundas St. E,,613-354-7388 or 1-800-267-7877,Offers crisis support services for people in Lennox & Addington experiencing emotional distress.,"crisis support, emotional distress, mental health",https://kingstonhsc.ca/MentalHealthAddictionResources,-1,1,1,amhs lennox & addington,Dundas St. E,Good
35,Maltby Centre,,,613-546-8535 or 1-844-855-8340,"Provides free, confidential, Quick Response and Mental Health Crisis services for children and youth aged 0-24 years.","crisis services, mental health, children and youth",https://kingstonhsc.ca/MentalHealthAddictionResources,-1,1,1,maltby centre,,Empty City
36,The Centre for Abuse and Trauma Therapy,,,613-507-2288,Offers short and long-term professional psychotherapy and support for those who have experienced abuse or trauma.,"psychotherapy, abuse, trauma, support",https://kingstonhsc.ca/MentalHealthAddictionResources,-1,1,1,the centre for abuse and trauma therapy,,Empty City
38,Resolve Counselling,,,613-549-7850,A non-profit agency offering confidential mental health and financial counselling support services.,"mental health counselling, financial support",https://kingstonhsc.ca/MentalHealthAddictionResources,-1,1,1,resolve counselling,,Empty City
41,"Canadian Mental Health Association (CMHA) Haliburton, Kawartha, Pine Ridge",Peterborough,,,"Provides mental health and addiction support services within the Haliburton, Kawartha, and Pine Ridge areas.","mental health, addiction support services",https://connexontario.ca/organization-list-v2/,-1,1,1,canadian mental health association haliburton kawartha pine ridge,Peterborough,Good
42,Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington (AMHS - KFLA),Kingston,,,"Offers comprehensive mental health and addiction services in the Kingston, Frontenac, Lennox, and Addington areas.","mental health, addiction services",https://connexontario.ca/organization-list-v2/,-1,1,1,addiction & mental health services kingston frontenac lennox & addington,Kingston,Good
43,Addiction and Mental Health Services (AMHS-KFLA) - Napanee Site,"70 Dundas St E, Napanee, ON",K7R 1H9,613-354-7521,Provides mental health services including case management and counseling.,"mental health, case management, counseling",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,addiction and mental health services napanee site,Napanee,Good
44,Canadian Mental Health Association - Hastings Prince Edward - Bancroft Office,"1P Manor Lane, Bancroft, ON",K0L 1C0,613-332-3826,Offers a variety of mental health support services.,"mental health support, services",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,canadian mental health association hastings prince edward bancroft office,Bancroft,Good
45,Children's Mental Health Services - Bancroft Office - (CMHS),"16 Billa St, Bancroft, ON",K0L 1C0,613-966-3100,Provides mental health services for children and youth.,"children's mental health, youth services",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,children s mental health services bancroft office,Bancroft,Good
47,Peer Support South East Ontario - Bancroft Peer Support Centre,"23 Bridge St W, Bancroft, ON",K0L 1C0,613-332-4056,Provides peer support services for mental health.,"peer support, mental health",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,peer support south east ontario bancroft peer support centre,Bancroft,Good
48,Providence Care - Regional Specialty Mental Health Services - Community and Outpatient Services,"Providence Care, 752 King St W, Postal Bag 603, Kingston, ON",K7L 4X3,613-540-6165 Ext 4126,Offers community and outpatient services for mental health.,"outpatient services, mental health",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,providence care regional specialty mental health services community and outpatient services,Kingston,Good
49,Youth Habilitation Quinte - Community Mental Health Program,"210 A Front St, 3rd F, Belleville, ON",K8N 2Z2,613-969-0830,Provides community mental health program for youth.,"youth mental health, community program",https://www.southeasthealthline.ca/listservices.aspx?id=10237,1,1,1,youth habilitation quinte community mental health program,Belleville,Good
50,"Canadian Mental Health Association (CMHA) Haliburton, Kawartha, Pine Ridge",Peterborough,,,"Provides mental health services and support to individuals in the Haliburton, Kawartha, and Pine Ridge areas.","mental health services, support",https://connexontario.ca/organization-list/,-1,1,1,canadian mental health association haliburton kawartha pine ridge,Peterborough,Good
51,Canadian Mental Health Association (CMHA) Hastings Prince Edward,Belleville,,,Offers mental health services and programs for individuals of all ages in Hastings and Prince Edward counties.,"mental health services, programs",https://connexontario.ca/organization-list/,-1,1,1,canadian mental health association hastings prince edward,Belleville,Good
52,Canadian Mental Health Association (CMHA) Durham,Oshawa,,,Provides mental health support and services to individuals in the Durham region.,"mental health support, services",https://connexontario.ca/organization-list/,-1,1,1,canadian mental health association durham,Oshawa,Good
53,Canadian Mental Health Association (CMHA) Ontario Division,Toronto,,,Represents the interests of all CMHA branches across Ontario and supports mental health initiatives.,"mental health, support",https://connexontario.ca/organization-list/,-1,1,1,canadian mental health association ontario division,Toronto,Good
58,Kingston Military Family Resource Centre,,,,"Mental health and well-being services and supports for military families, including walk-in sessions, counselling, self-help groups, and navigation.","military families, mental health support, counselling, well-being services",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,kingston military family resource centre,,Empty City
60,Peer Support Services of Southeast Ontario,,,,Peer support programs and services for people experiencing mental health or addiction concerns.,"peer support, mental health, addiction",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,peer support services of southeast ontario,,Empty City
64,Rural Frontenac Community Services,,,,"Counselling for individuals over 16 years of age, couples, and families from North and Central Frontenac who want to make positive changes in their life.","counselling, positive changes, individual support",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,rural frontenac community services,,Empty City
65,Transgender Clinic - Kingston Community Health Centres,,,,"Counselling services for individuals who identify as transgender or intersex and their families, in addition to other gender-affirming medical services.","counselling, transgender, intersex, gender-affirming",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,transgender clinic kingston community health centres,,Empty City
66,Youth Wellness Hubs Ontario (YWHO),,,,"A walk-in, low-barrier services for youth aged 12 to 25 in a youth-friendly space.","youth services, mental health, walk-in services",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,youth wellness hubs ontario,,Empty City
67,Kingston – One Roof Napanee and Lennox and Addington Youth Hub,,,,Community Health Centre that provides a range of health services including mental health support for youth.,"community health, youth services, mental health",https://www.kflaph.ca/en/health-topics/mental-health-services.aspx,-1,1,1,kingston one roof napanee and lennox and addington youth hub,,Empty City
