id,Service name,Clean_Service_Name,City,best_match_gt,similarity_score,is_match
8,South Riverdale Community Health Centre,south riverdale community health centre,Danforth Ave,WoodGreen Community Services,57,False
31,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
35,Maltby Centre,maltby centre,,National Eating Disorder Information Centre,77,True
36,The Centre for Abuse and Trauma Therapy,the centre for abuse and trauma therapy,,Hanover Place,53,False
38,Resolve Counselling,resolve counselling,,Wellkin,77,True
43,Addiction and Mental Health Services (AMHS-KFLA) - Napanee Site,addiction and mental health services napanee site,Dundas St E,Canadian Centre for Victims of Torture,45,False
44,Canadian Mental Health Association - Hastings Prince Edward - Bancroft Office,canadian mental health association hastings prince edward bancroft office,P Manor Lane,Canadian Mental Health Association Hastings Prince Edward,100,True
58,Kingston Military Family Resource Centre,kingston military family resource centre,,"Keystone Child, Youth and Family Services",62,False
60,Peer Support Services of Southeast Ontario,peer support services of southeast ontario,,Southwest Ontario Aboriginal Health Access Centre,54,False
64,Rural Frontenac Community Services,rural frontenac community services,,Eden Community Homes,70,False
65,Transgender Clinic - Kingston Community Health Centres,transgender clinic kingston community health centres,,Eden Community Homes,70,False
66,Youth Wellness Hubs Ontario (YWHO),youth wellness hubs ontario,,Wellkin,71,False
67,Kingston – One Roof Napanee and Lennox and Addington Youth Hub,kingston one roof napanee and lennox and addington youth hub,,Wellkin,60,False
70,BounceBack Ontario,bounceback ontario,,Southwest Ontario Aboriginal Health Access Centre,63,False
78,Community Crisis Centre of Windsor-Essex County,community crisis centre of windsor essex county,,Eden Community Homes,67,False
82,"Kenora Association for Community Living, Community Mental Health Support Services",kenora association for community living community mental health support services,,"Lakeridge Health, Durham Mental Health Services",72,True
85,"Niagara Region, Community Mental Health Program",niagara region community mental health program,,Eden Community Homes,75,True
90,"Destress Centre of Lanark, Leeds and Grenville",destress centre of lanark leeds and grenville,,Indwell,55,False
